[0.0156,0.0223,0.0352,0.0321,0.0471,0.1157,0.0288,0.0243,0.0348,0.0411,0.2860,0.2269,0.0309,0.0271,0.0320],1.0, 3.04050503142
[0.0233,0.0480,0.0118,0.0291,0.0194,0.1144,0.0257,0.0601,0.0151,0.0086,0.2869,0.2309,0.0276,0.0454,0.0536],1.0, 3.04661788474
[0.0241,0.0394,0.0635,0.0134,0.0613,0.1154,0.0204,0.0141,0.0259,0.0141,0.2858,0.2275,0.0424,0.0304,0.0223],1.0, 3.04092128664
[0.0386,0.0084,0.0352,0.0183,0.0162,0.1153,0.0216,0.0098,0.0357,0.0079,0.2863,0.2397,0.0096,0.1242,0.0333],1.0, 3.03971330077
[0.0054,0.0369,0.0376,0.0295,0.0316,0.1157,0.0358,0.0243,0.0272,0.0291,0.2858,0.2282,0.0403,0.0526,0.0200],1.0, 3.03967369289
[0.0025,0.0015,0.0188,0.0559,0.0012,0.1157,0.0757,0.0029,0.0110,0.0576,0.2871,0.2225,0.0455,0.0000,0.1020],1.0, 3.03968763359
[0.0470,0.0213,0.0223,0.0004,0.0141,0.1151,0.0001,0.0050,0.0645,0.0022,0.2920,0.2297,0.1048,0.0257,0.0559],1.0, 3.04012861288
[0.0119,0.0536,0.0500,0.0394,0.0194,0.1150,0.0167,0.0153,0.0219,0.0670,0.2833,0.2273,0.0166,0.0439,0.0188],1.0, 3.05219891155
[0.0508,0.0398,0.0405,0.0472,0.0195,0.1150,0.0654,0.0060,0.0161,0.0317,0.2866,0.2289,0.0063,0.0062,0.0400],1.0, 3.04045803511
[0.0389,0.0370,0.0304,0.0316,0.0385,0.1151,0.0109,0.0091,0.0131,0.0249,0.2859,0.2333,0.0294,0.0709,0.0310],1.0, 3.04381913201
[0.0231,0.0194,0.0466,0.0543,0.0164,0.1429,0.0216,0.0295,0.0261,0.0577,0.2795,0.2107,0.0210,0.0360,0.0153],1.0, 3.08444557802
[0.0303,0.0327,0.0240,0.0282,0.0237,0.1138,0.0415,0.0348,0.0253,0.0345,0.2868,0.2324,0.0372,0.0303,0.0246],1.0, 3.05022142208
[0.2689,0.0018,0.0026,0.0000,0.0026,0.1114,0.0000,0.0006,0.0000,0.0034,0.2989,0.2607,0.0004,0.0487,0.0000],1.0, 3.04545772781
[0.0193,0.0496,0.0160,0.0434,0.0208,0.1155,0.0231,0.0228,0.0304,0.0267,0.2860,0.2294,0.0313,0.0487,0.0371],1.0, 3.03981623944
[0.0635,0.0563,0.0234,0.0423,0.0381,0.1150,0.0345,0.0248,0.0101,0.0160,0.2873,0.2311,0.0182,0.0183,0.0212],1.0, 3.03972115545
[0.1460,0.0080,0.0049,0.0268,0.0128,0.1632,0.0086,0.0043,0.0055,0.0042,0.2826,0.2194,0.0064,0.1006,0.0065],1.0, 3.10261759001
[0.0296,0.0573,0.0061,0.0155,0.0310,0.1156,0.0444,0.0669,0.0207,0.0282,0.2859,0.2257,0.0020,0.0004,0.0706],1.0, 3.04160672755
[0.0150,0.0109,0.0411,0.0174,0.0659,0.1156,0.0682,0.0083,0.0276,0.0298,0.2857,0.2252,0.0226,0.0124,0.0542],1.0, 3.03967540274
[0.0202,0.0822,0.0137,0.0024,0.0164,0.0926,0.0939,0.0039,0.0899,0.0031,0.3379,0.2193,0.0204,0.0037,0.0005],1.0, 3.2437058036
[0.0956,0.0118,0.0120,0.0260,0.0119,0.1141,0.0185,0.0170,0.0173,0.0169,0.2902,0.2386,0.0352,0.0578,0.0369],1.0, 3.04847859281
[0.0864,0.0035,0.0167,0.0179,0.0084,0.1157,0.0087,0.0082,0.0032,0.0036,0.2894,0.2482,0.0234,0.1601,0.0068],1.0, 3.04100870611
[0.0634,0.0221,0.0112,0.0201,0.0205,0.1136,0.0294,0.0224,0.0215,0.0273,0.2913,0.2334,0.0721,0.0144,0.0372],1.0, 3.04796392654
[0.0398,0.0054,0.0267,0.0519,0.0560,0.1152,0.0370,0.0342,0.0537,0.0066,0.2865,0.2289,0.0114,0.0187,0.0280],1.0, 3.03968275822
[0.0304,0.0448,0.1219,0.0059,0.1106,0.1133,0.0000,0.0105,0.0131,0.0000,0.2850,0.2238,0.0181,0.0159,0.0068],1.0, 3.06791564388
[0.0302,0.0216,0.0137,0.0244,0.0138,0.1153,0.0361,0.0289,0.0457,0.0416,0.2902,0.2285,0.0684,0.0233,0.0184],1.0, 3.04010420188
[0.0165,0.0140,0.0180,0.0386,0.0190,0.1155,0.0473,0.0271,0.0437,0.0292,0.2876,0.2283,0.0433,0.0366,0.0352],1.0, 3.03967659673
[0.0018,0.0376,0.0652,0.0267,0.0576,0.1152,0.0412,0.0105,0.0222,0.0232,0.2823,0.2219,0.0290,0.0189,0.0466],1.0, 3.05572421526
[0.0073,0.0998,0.1397,0.0058,0.0067,0.1148,0.0048,0.0058,0.0064,0.0588,0.2810,0.2236,0.0066,0.0070,0.0319],1.0, 3.04972954324
[0.1087,0.0285,0.0206,0.0136,0.0090,0.1144,0.0108,0.0203,0.0111,0.0103,0.2908,0.2439,0.0194,0.0873,0.0113],1.0, 3.03980468911
[0.0522,0.0088,0.0490,0.0126,0.0197,0.1152,0.0136,0.0208,0.0331,0.0530,0.2877,0.2338,0.0114,0.0511,0.0380],1.0, 3.03984781131
