[0.2498,0.2498,0.0487,0.0719,0.0373,0.0533,0.0694,0.0038,0.0498,0.0708,0.0362,0.0544,0.0053],1.00043942476, 4.00361178758
[0.2226,0.2226,0.0437,0.0144,0.0058,0.0019,0.0140,0.0625,0.1009,0.0917,0.0775,0.0785,0.0641],1.00018334203, 4.49352463952
[0.2473,0.2473,0.0777,0.0022,0.0733,0.0240,0.0789,0.0583,0.0673,0.0014,0.0844,0.0342,0.0043],1.00064676873, 4.04605770748
[0.2497,0.2497,0.0616,0.0514,0.0522,0.0646,0.0227,0.0038,0.0620,0.0506,0.0527,0.0653,0.0141],1.00047264188, 4.00515465567
[0.2529,0.2493,0.0000,0.0281,0.0610,0.0701,0.0659,0.1133,0.0017,0.0224,0.0552,0.0751,0.0068],1.00180628815, 4.067180973
[0.2500,0.2501,0.0537,0.0470,0.0249,0.0580,0.0288,0.0394,0.0541,0.0476,0.0252,0.0578,0.0640],1.00054885791, 4.00220276959
[0.2440,0.2450,0.0261,0.0206,0.0293,0.0705,0.0488,0.0875,0.0277,0.0398,0.0500,0.0487,0.0622],1.00023577909, 4.09945655997
[0.2476,0.2478,0.0421,0.0261,0.0462,0.0426,0.1134,0.0564,0.0513,0.0348,0.0531,0.0339,0.0048],1.00036024996, 4.03890408668
[0.2421,0.2421,0.0091,0.0915,0.0171,0.0962,0.0280,0.0588,0.0051,0.0612,0.0174,0.0660,0.0659],1.0004446816, 4.13227910709
[0.2488,0.2489,0.0289,0.0015,0.1036,0.0141,0.1117,0.0583,0.0294,0.0063,0.1042,0.0128,0.0317],1.00000630816, 4.01985040711
[0.2299,0.2299,0.0227,0.0485,0.1067,0.0463,0.0796,0.1259,0.0000,0.0116,0.0309,0.0350,0.0332],1.00023861313, 4.34910036074
[0.2499,0.2499,0.0570,0.0157,0.0461,0.0587,0.0869,0.0037,0.0578,0.0150,0.0462,0.0587,0.0547],1.00021373956, 4.00234495305
[0.2119,0.2121,0.0424,0.0555,0.0403,0.0014,0.0496,0.1109,0.0001,0.0002,0.0378,0.1424,0.0957],1.00043690058, 4.72012929503
[0.2265,0.2265,0.0497,0.0000,0.0559,0.0934,0.0522,0.0894,0.0680,0.0021,0.0932,0.0026,0.0411],1.00054965829, 4.41675381825
[0.0000,0.1344,0.0736,0.0494,0.0859,0.1033,0.0015,0.0165,0.0998,0.0586,0.1324,0.1177,0.1546],1.0275576175, 10.0
[0.2259,0.2290,0.0814,0.1012,0.0978,0.0406,0.0002,0.0509,0.0026,0.1347,0.0356,0.0002,0.0000],1.00010692672, 4.42768447927
[0.2488,0.2488,0.0251,0.0119,0.0773,0.0283,0.0767,0.0655,0.0270,0.0069,0.0724,0.0332,0.0784],1.00040478517, 4.01954605112
[0.1913,0.1909,0.0000,0.0857,0.1907,0.0580,0.0000,0.0000,0.0588,0.0067,0.0000,0.1431,0.0750],1.00021371124, 5.23830950967
