0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.2,T,1,2
0.2,UCB,1,2
0.05,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.0,T,1,2
0.2,UCB,1,2
0.25,T,1,2
0.2,UCB,1,2
0.05,T,1,2
