0.06,CT,10,2
0.045,T,10,2
0.055,CT,10,2
0.05,T,10,2
0.06,CT,10,2
0.08,T,10,2
0.075,CT,10,2
0.025,T,10,2
0.04,CT,10,2
0.02,T,10,2
0.045,CT,10,4
0.045,T,10,4
0.03,CT,10,4
0.055,T,10,4
0.045,CT,10,4
0.055,T,10,4
0.03,CT,10,4
0.065,T,10,4
0.04,CT,10,4
0.055,T,10,4
0.055,CT,10,8
0.065,T,10,8
0.055,CT,10,8
0.05,T,10,8
0.04,CT,10,8
0.06,T,10,8
0.045,CT,10,8
0.055,T,10,8
0.045,CT,10,8
0.05,T,10,8
0.0499999999999,CT,10,16
0.0549999999999,T,10,16
0.0449999999999,CT,10,16
0.0499999999999,T,10,16
0.0549999999999,CT,10,16
0.0499999999999,T,10,16
0.0549999999999,CT,10,16
0.0499999999999,T,10,16
0.0449999999999,CT,10,16
0.0549999999999,T,10,16
